R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
49547130873.734024,34873999297.99872,22101171034.422836,107277157900.26674,1.4207470284768096,0.6337435189342089,0.46186095757492873,0.3250831768904646,0.20601935646887493,0.28036122209152947,0.4922806775538279,0.6754737513236717,LSPDD/lampdump/LED_BR30Flood-SlimStyle_domestic-use_softwhite-color_Philips-brand_9.5W_120V_68Lm_2700K
333078589953.5114,435934920690.06067,317616992558.0499,1122858958429.7915,0.764055766457678,0.7285880930467327,0.29663439691418525,0.3882365789730823,0.28286454872498523,0.5487549418424391,0.6967997378052838,0.6229525995094476,LSPDD/lampdump/LED_Ceiling-light_domestic-use_coolwhite-color_RAB-design-brand_14W_5000K_88Lum_120V
367404613023.399,255689000291.65155,136604593918.0047,767368895666.78,1.4369199011467801,0.5342607377016091,0.47878486487799954,0.33320219484460467,0.17801685042147378,0.22839251299788327,0.4324700657172524,0.639113612287883,LSPDD/lampdump/LED_MR16_domestic-use_warm_softwhite-color_Philips-brand_10W_120V_40.5Lm_2700K
162300860520.66446,100155155801.63306,61861032733.535484,325243951974.3393,1.6204943142629318,0.6176520044165996,0.49901269350419614,0.3079385648638748,0.19019887182534334,0.24920295687280117,0.44231095586560665,0.6727146206374555,LSPDD/lampdump/LED_PAR20_domestic-use_softwhite-color_TCP-brand_10W_120V_60Lm_2400K
196865620486.8238,143049336746.8479,77774084387.465,419549347498.166,1.3762078522266321,0.5436871372923633,0.4692311444667051,0.3409595023800465,0.1853752957816362,0.24703201979578573,0.43965965959588765,0.6608178087780825,LSPDD/lampdump/LED_Encaster7inchCalculite_domestic-use_softwhite-color_Philips-brand_22W_1500lm_3000K
4200965181.2039394,2155581206.6823673,1293556285.6685014,7295442537.609682,1.9488781810589273,0.6000962903454704,0.5758341813463678,0.2954695613829937,0.1773101876959378,0.12207290068808414,0.2437911298302743,0.5050264054525887,LSPDD/lampdump/HPS_Helios_streetlight-use_warmwhite-color_Philipps-brand_100W_2010K
119406293160.3755,91293829621.57185,53106303501.839264,267194394889.5371,1.30793388398027,0.5817074792674789,0.44688921416087407,0.34167569143549714,0.19875530519191598,0.284331339130681,0.4943955781923312,0.6432745224450411,LSPDD/lampdump/LED_A19_dim_domestic-use_softwhite-color_EnergySmart-brand_13W_61.5Lum_3000K_25000H
335032666025.2389,292145354540.3428,206940627524.27838,845872738535.4059,1.1468012782622348,0.7083481708955316,0.3960792809156307,0.3453774323619656,0.2446474724821935,0.4158384258111768,0.5798167861009008,0.6932123200347072,LSPDD/lampdump/LED_PAR30_dim_domestic-use_softwhite-color_Standard-brand_9W_57.8Lum_120V_3000K
398611784450.36127,302934525238.59656,181980983608.40396,894585008161.251,1.315834780259555,0.6007271157523975,0.4455829024786324,0.3386313457915583,0.20342503166071554,0.2907426787213936,0.48672057604663294,0.6474284258065677,LSPDD/lampdump/LED_PAR20_BlackBulbBody_dim_domestic-use_softwhite-color_EnergySmart-band_7W_47.1Lum_3000K_50000H
1045759987151.6,671335724502.5875,566440049746.925,1587107895217.0,1.5577302815613372,0.8437507927447436,0.6589091959678121,0.4229931226010302,0.3569007825201938,0.2844495634448572,0.507013417366238,0.9264974939601456,LSPDD/lampdump/Halo_PAR38_domestic-use_softwhite-color_Sylvania-brand_65W_120V_11Lum_3000K
119016044740.9177,125599331442.54175,103322039827.22429,340846224617.5458,0.9475850179613756,0.8226320844270679,0.34917812240538193,0.36849265848103,0.3031338837423214,0.5562379480284932,0.6997083599081598,0.6554261440166946,LSPDD/lampdump/MH_industrial-use_coolwhite-color_Philips-brand_400W_4000K_100Lum-plafond-bleu
96028575157.23662,65560899142.49962,37529414798.52521,201492586105.22882,1.464723278863429,0.5724359380269222,0.476586146485241,0.3253762354723099,0.18625705056426045,0.24913517965796822,0.440990383135327,0.6552523708206227,LSPDD/lampdump/LED_BR30_dim_domestic-use_softwhite-color_Philips-brand_13W_120V_56.2Lum_2700K_bernard
1174832847758.2783,1511404166610.5525,1053655165098.6329,3884565217486.263,0.777312166865953,0.6971366020920405,0.3024361239888059,0.389079364611259,0.27124146618922323,0.5520073231249091,0.6492862178623158,0.6214819368594681,LSPDD/lampdump/LED_VEK2_domestic-use_coolwhite-color_RAB-design-brand_52W_72Lum_5000K_120V
321637629795.01337,248282534440.62433,144292264087.0585,717956273901.571,1.2954500827843434,0.581161556176902,0.4479905552564453,0.34581846202330546,0.20097639554416707,0.2861776542202388,0.4984073450309305,0.6837311258259747,LSPDD/lampdump/LED_PAR20_dim_domestic-use_softwhite-color_LightingScience-brand_8W_43.8Lum_120V_3000K_50000H
188580045122.61176,146842604088.3786,90945081150.2406,426853131927.2484,1.284232503865929,0.6193371584142191,0.44179140556183805,0.3440120104668835,0.21305942102292227,0.32350371056935273,0.5168596154227808,0.7061805911350244,LSPDD/lampdump/LED_G25Bombilla_domestic-use_softwhite-color_Sylvania-brand_8W_120V_56.3Lum_3046K
45813178492.944534,31167976606.666836,17620429734.20893,95681590087.31421,1.4698797766405243,0.5653376206153825,0.4788087076222054,0.3257468503421035,0.1841569492953599,0.23128119255835441,0.4422732327740407,0.6474497936990895,LSPDD/lampdump/LED_A21_dim_domestic-use_softwhite-color_Philips-brand_19W_120V_88.4Lum_2700K_bernard
386972246568.45,261608953864.96497,245911876531.23752,568449324868.2625,1.4792010779883091,0.9399979354612235,0.6807506485439673,0.46021508412485596,0.43260122894547787,0.41197250518869166,0.5549602767428794,0.9940226369405375,LSPDD/lampdump/Halo_PAR38Icepar_domestic-use_softwhite-color_Sandard-brand_90W_130V_5000H_3000K
131593253540.6775,89152019149.0975,76008175539.13501,212024136042.86182,1.4760546625489372,0.8525681893084128,0.620652233263081,0.4204805208170967,0.35848831627249056,0.350841313542287,0.5576005311694024,0.8999729391609236,LSPDD/lampdump/Halo_BR38_domestic-use_softwhite-color_Enersaver_Globe-brand_65W_120V_15.4Lum_2870K
207536450786.8075,160653254389.1584,98556649051.10715,472429753657.1295,1.2918284884791789,0.6134743390405804,0.43929589358046467,0.3400574437692044,0.20861651555214195,0.29835900721841824,0.4959170730388151,0.6405303585364037,LSPDD/lampdump/LED_PAR20_domestic-use_softwhite-color_Ledtech-brand_8W_120V_E26_2939K
394328722604.277,299861723083.05273,176501716188.48126,875955330193.3682,1.3150352053938532,0.5886103580469174,0.4501698990943162,0.3423253592359075,0.20149625226838713,0.2851315429178099,0.490339066805524,0.6626181857984154,LSPDD/lampdump/LED_PAR30_domestic-use_softwhite-color_Energizer-brand_50Lum_15W_3155K
934799882846.5664,739259867302.3679,473453202155.1345,2176006470840.4854,1.2645078195002568,0.640442181560338,0.4295942568982797,0.3397323846269758,0.21757894955719623,0.334094677096378,0.5273132845376375,0.672002688877095,LSPDD/lampdump/LED_Step-light-001_domestic-use_softwhite-color_DALS-brand_4.5W_79Lum_3000K_120V
